French,English
partie,part
histoire,history
chercher,search
seulement,only
police,police
pensais,thought
aide,help
genre,kind
mois,month
frère,brother
car,because
mettre,to put
laisse,leash
eux,them
ville,city
chaque,each
parlé,speak
arrivé,come
devrait,should
bébé,baby
longtemps,long time
heures,hours
pendant,while
revoir,meet again
place,square
parle,speak
compris,understood
étaient,were
attention,Warning
affaire,case
donner,give
type,type
leurs,their
train,train
corps,body
endroit,place
yeux,eyes
façon,way
dont,whose
premier,first
perdu,lost
côté,side
pouvoir,power
sois,be
tiens,here
matin,morning
enfant,child
point,point
venu,came
pardon,sorry
venez,come
vers,towards
minutes,minutes
demandé,request
mis,placed
belle,beautiful
droit,law
aujourd'hui,today
cause,cause
enfin,finally
eau,water
attendez,Wait
parti,left
boulot,job
arrêter,Stop
dirait,would say
compte,account
donne,given
croire,believe
chérie,sweetheart
gros,large
aura,will have
jouer,to play
bureau,office
